Alerts	Trigger
https://site.geoedge.com/analyticsv2/ad/28473804732/3ba0587cf8db4b258a1355009bdcff82/alert:5.6092677249701E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473804706/48430c3b965ee7f2816f0a7726c3027b/alert:5.6092677349392E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473803745/9e865b47ec9dd5285c81cd27d8eb57db/alert:5.6092674932329E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473804231/e48efdabbf6d178c72f59da17e361d84/alert:5.609267639657E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473803914/51422d0bd7447a35dcc9f719a7bd8980/alert:5.6092675296576E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473804010/d4fc2482276f914223a469a52460de14/alert:5.6092675528404E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473803303/68317455d75577ef3d709c82f6cc436d/alert:5.6092673267181E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473803790/2b3d17717075c2f5a74eb3b5071f96aa/alert:5.6092674855829E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473803606/eb8278e5efa67e0473a1af453324c10e/alert:5.609267458447E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473802861/f933285da2b43a32180db12a0d8d98b6/alert:5.6092673230734E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473802214/cf8a5791a3e0f3a0840a221885e628ee/alert:5.6092670549555E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473802669/9665c8963adaae4f142376a83bacc5d7/alert:5.6092671821747E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473802717/9670355f2636754d98edcc41b6e71bfb/alert:5.609267189068E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473802472/586b5639dd9510f8bf842158ee535f27/alert:5.6092671775348E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473802307/f6358cead5321e1c71c5ccd9ad570f52/alert:5.6092670712831E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473802239/5c021a61b97352ed61dc8998b645572f/alert:5.6092670593109E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473801389/48e6d027c54c9de3c036b8458c5d5bee/alert:5.6092668326376E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473802086/8addf9022f6bd6262d1611864f5b599e/alert:5.6092670263229E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473801394/49361502ce589eddef28cea464c9feb3/alert:5.6092668726317E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473801224/9ff09713cbda71929cd350b21b186382/alert:5.6092667693813E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473801021/3eb271dfdd207508e0a5d189510a237e/alert:5.6092667197097E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473800970/e79c447cf2940337551b9940e2e2fd32/alert:5.6092667842642E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473800932/fbd128cc852ffea0012d2902009d2b22/alert:5.6092667138512E%2B20	
https://site.geoedge.com/analyticsv2/ad/28473800099/ae74b8574ab341e2b673ea127dc2b843/alert:5.6092664865405E%2B20	
